year,name,team,salary,url
2013,陽岱鋼,日本ハム,9200,https://www.gurazeni.com/player/507
2013,福浦和也,ロッテ,9000,https://www.gurazeni.com/player/790
2013,青山浩二,楽天,9000,https://www.gurazeni.com/player/690
2013,増井浩俊,日本ハム,9000,https://www.gurazeni.com/player/458
2013,東出輝裕,広島,9000,https://www.gurazeni.com/player/260
2013,ラスティングス・ミレッジ,ヤクルト,9000,https://www.gurazeni.com/player/219
2013,金子誠,日本ハム,8900,https://www.gurazeni.com/player/494
2013,セス・グライシンガー,ロッテ,8600,https://www.gurazeni.com/player/769
2013,鉄平（土谷鉄平）,楽天,8600,https://www.gurazeni.com/player/733
2013,寺原隼人,ソフトバンク,8500,https://www.gurazeni.com/player/585
2013,中田翔,日本ハム,8500,https://www.gurazeni.com/player/492
2013,ホルヘ・ソーサ,DeNA,8500,https://www.gurazeni.com/player/402
2013,畠山和洋,ヤクルト,8500,https://www.gurazeni.com/player/201
2013,渡辺俊介,ロッテ,8000,https://www.gurazeni.com/player/761
2013,小野晋吾,ロッテ,8000,https://www.gurazeni.com/player/759
2013,長谷川勇也,ソフトバンク,8000,https://www.gurazeni.com/player/640
2013,森本稀哲,DeNA,8000,https://www.gurazeni.com/player/433
2013,石原慶幸,広島,8000,https://www.gurazeni.com/player/254
2013,ウラディミール・バレンティン,ヤクルト,8000,https://www.gurazeni.com/player/210
2013,押本健彦,ヤクルト,8000,https://www.gurazeni.com/player/181
2013,山井大介,中日,8000,https://www.gurazeni.com/player/98
2013,谷佳知,巨人,8000,https://www.gurazeni.com/player/57
2013,ホセ・ロペス,巨人,8000,https://www.gurazeni.com/player/43
2013,西村健太朗,巨人,8000,https://www.gurazeni.com/player/13
2013,スコット・マシソン,巨人,7800,https://www.gurazeni.com/player/7
2013,鶴岡慎也,日本ハム,7600,https://www.gurazeni.com/player/484
2013,キャム・ミコライオ,広島,7560,https://www.gurazeni.com/player/247
2013,エンジェルベルト・ソト,DeNA,7500,https://www.gurazeni.com/player/406
2013,関本賢太郎,阪神,7500,https://www.gurazeni.com/player/344
2013,大島洋平,中日,7500,https://www.gurazeni.com/player/142
2013,Ｔー岡田(岡田貴弘),オリックス,7300,https://www.gurazeni.com/player/872
2013,細川亨,ソフトバンク,7100,https://www.gurazeni.com/player/620
2013,ジョシュ・ホワイトセル,ロッテ,7000,https://www.gurazeni.com/player/798
2013,松中信彦,ソフトバンク,7000,https://www.gurazeni.com/player/625
2013,西口文也,西武,7000,https://www.gurazeni.com/player/518
2013,吉川光夫,日本ハム,7000,https://www.gurazeni.com/player/468
2013,コンラッド,阪神,7000,https://www.gurazeni.com/player/352
2013,福原忍,阪神,7000,https://www.gurazeni.com/player/314
2013,梵英心,広島,7000,https://www.gurazeni.com/player/263
2013,松岡健一,ヤクルト,7000,https://www.gurazeni.com/player/161
2013,中田賢一,中日,7000,https://www.gurazeni.com/player/90
2013,小笠原道大,巨人,7000,https://www.gurazeni.com/player/42
2013,ブラッド・エルドレッド,広島,6850,https://www.gurazeni.com/player/269
2013,マイカ・ホフパワー,日本ハム,6800,https://www.gurazeni.com/player/495
2013,牧田和久,西武,6700,https://www.gurazeni.com/player/533
2013,東野峻,オリックス,6500,https://www.gurazeni.com/player/818
2013,ウィル・レデズマ,ロッテ,6500,https://www.gurazeni.com/player/770
2013,ダレル・ラズナー,楽天,6500,https://www.gurazeni.com/player/677
2013,ランディ・ウィリアムス,西武,6500,https://www.gurazeni.com/player/541
2013,村中恭兵,ヤクルト,6500,https://www.gurazeni.com/player/157
2013,越智大祐,巨人,6500,https://www.gurazeni.com/player/8
2013,澤村拓一,巨人,6500,https://www.gurazeni.com/player/2
2013,デニス・サファテ,西武,6400,https://www.gurazeni.com/player/528
2013,小林正人,中日,6400,https://www.gurazeni.com/player/114
2013,大隣憲司,ソフトバンク,6300,https://www.gurazeni.com/player/595
2013,川端慎吾,ヤクルト,6300,https://www.gurazeni.com/player/194
2013,二岡智宏,日本ハム,6200,https://www.gurazeni.com/player/497
2013,木佐貫洋,日本ハム,6200,https://www.gurazeni.com/player/463
2013,嶋基宏,楽天,6000,https://www.gurazeni.com/player/705
2013,廣瀬純,広島,6000,https://www.gurazeni.com/player/278
2013,オーランド・ロマン,ヤクルト,6000,https://www.gurazeni.com/player/177
2013,ブラッドリー・バーゲセン,中日,6000,https://www.gurazeni.com/player/104
2013,山本昌,中日,6000,https://www.gurazeni.com/player/100
2013,川上憲伸,中日,6000,https://www.gurazeni.com/player/82
2013,久保田智之,阪神,5800,https://www.gurazeni.com/player/316
2013,岩田稔,阪神,5800,https://www.gurazeni.com/player/311
2013,炭谷銀仁朗,西武,5700,https://www.gurazeni.com/player/547
2013,渡辺亮,阪神,5700,https://www.gurazeni.com/player/302
2013,R.スピリー,西武,5600,https://www.gurazeni.com/player/566
2013,大引啓次,日本ハム,5600,https://www.gurazeni.com/player/493
2013,前田智徳,広島,5600,https://www.gurazeni.com/player/275
2013,山本省吾,ソフトバンク,5500,https://www.gurazeni.com/player/599
2013,高崎健太郎,DeNA,5500,https://www.gurazeni.com/player/388
2013,唐川侑己,ロッテ,5450,https://www.gurazeni.com/player/754
2013,クリス・ラルー,ヤクルト,5000,https://www.gurazeni.com/player/882
2013,アーロム・バルディリス,オリックス,5000,https://www.gurazeni.com/player/861
2013,大松尚逸,ロッテ,5000,https://www.gurazeni.com/player/791
2013,伊藤義弘,ロッテ,5000,https://www.gurazeni.com/player/760
2013,赤田将吾,日本ハム,5000,https://www.gurazeni.com/player/508
2013,石川雄洋,DeNA,5000,https://www.gurazeni.com/player/417
2013,渡辺直人,西武,5000,https://www.gurazeni.com/player/416
2013,渡辺直人,DeNA,5000,https://www.gurazeni.com/player/416
2013,日高剛,阪神,5000,https://www.gurazeni.com/player/333
2013,安藤優也,阪神,5000,https://www.gurazeni.com/player/306
2013,今村猛,広島,5000,https://www.gurazeni.com/player/225
2013,永井怜,楽天,4900,https://www.gurazeni.com/player/685
2013,金澤健人,ソフトバンク,4800,https://www.gurazeni.com/player/608
2013,高木康成,巨人,4800,https://www.gurazeni.com/player/1
2013,中山慎也,オリックス,4700,https://www.gurazeni.com/player/828
2013,西勇輝,オリックス,4600,https://www.gurazeni.com/player/822
2013,根元俊一,ロッテ,4500,https://www.gurazeni.com/player/787
2013,由規(佐藤由規),ヤクルト,4500,https://www.gurazeni.com/player/153
2013,朝倉健太,中日,4500,https://www.gurazeni.com/player/85
2013,香月良太,巨人,4500,https://www.gurazeni.com/player/4
2013,榎田大樹,阪神,4400,https://www.gurazeni.com/player/303
2013,藤田一也,楽天,4300,https://www.gurazeni.com/player/713
2013,角中勝也,ロッテ,4200,https://www.gurazeni.com/player/808
2013,益田直也,ロッテ,4200,https://www.gurazeni.com/player/773
2013,新垣渚,ソフトバンク,4200,https://www.gurazeni.com/player/589
2013,藤井彰人,阪神,4200,https://www.gurazeni.com/player/337
2013,山内壮馬,中日,4200,https://www.gurazeni.com/player/96
2013,鈴木義広,中日,4200,https://www.gurazeni.com/player/93
2013,コーコラン,DeNA,4000,https://www.gurazeni.com/player/1015
2013,ボイヤー,阪神,4000,https://www.gurazeni.com/player/883
2013,吉野誠,ソフトバンク,4000,https://www.gurazeni.com/player/834
2013,吉野誠,オリックス,4000,https://www.gurazeni.com/player/834
2013,岡田幸文,ロッテ,4000,https://www.gurazeni.com/player/810
2013,吉村裕基,ソフトバンク,4000,https://www.gurazeni.com/player/637
2013,山田大樹,ソフトバンク,4000,https://www.gurazeni.com/player/598
2013,江尻慎太郎,ソフトバンク,4000,https://www.gurazeni.com/player/584
2013,嶋重宣,西武,4000,https://www.gurazeni.com/player/570
2013,榊原諒,日本ハム,4000,https://www.gurazeni.com/player/454
2013,内村賢介,DeNA,4000,https://www.gurazeni.com/player/419
2013,鶴岡一成,DeNA,4000,https://www.gurazeni.com/player/410
2013,加賀繁,DeNA,4000,https://www.gurazeni.com/player/382
2013,フレッド・ルイス,広島,4000,https://www.gurazeni.com/player/282
2013,横山竜士,広島,4000,https://www.gurazeni.com/player/232
2013,永川勝浩,広島,4000,https://www.gurazeni.com/player/229
2013,野村祐輔,広島,4000,https://www.gurazeni.com/player/228
2013,赤川克紀,ヤクルト,4000,https://www.gurazeni.com/player/174
2013,高橋聡文,中日,4000,https://www.gurazeni.com/player/113
2013,矢野謙次,巨人,4000,https://www.gurazeni.com/player/65
2013,鈴木尚広,巨人,4000,https://www.gurazeni.com/player/59
2013,實松一成,巨人,4000,https://www.gurazeni.com/player/34
2013,福田聡志,巨人,4000,https://www.gurazeni.com/player/11
2013,明石健志,ソフトバンク,3900,https://www.gurazeni.com/player/630
2013,牧田明久,楽天,3800,https://www.gurazeni.com/player/727
2013,多田野数人,日本ハム,3800,https://www.gurazeni.com/player/482
2013,桧山進次郎,阪神,3800,https://www.gurazeni.com/player/360
2013,増渕竜義,ヤクルト,3800,https://www.gurazeni.com/player/162
2013,亀井善行(義行),巨人,3800,https://www.gurazeni.com/player/58
2013,高須洋介,楽天,3750,https://www.gurazeni.com/player/712
2013,大谷智久,ロッテ,3700,https://www.gurazeni.com/player/749
2013,岡本篤志,西武,3700,https://www.gurazeni.com/player/526
2013,藤井秀悟,DeNA,3700,https://www.gurazeni.com/player/376
2013,古城茂幸,巨人,3700,https://www.gurazeni.com/player/49
2013,ディッキー・ゴンザレス,ロッテ,3600,https://www.gurazeni.com/player/766
2013,長田秀一郎,DeNA,3600,https://www.gurazeni.com/player/532
2013,長田秀一郎,西武,3600,https://www.gurazeni.com/player/532
2013,小田幸平,中日,3600,https://www.gurazeni.com/player/120
2013,ダニエル・カブレラ,中日,3600,https://www.gurazeni.com/player/115
2013,キラ・カアイフエ,広島,3500,https://www.gurazeni.com/player/885
2013,小松聖,オリックス,3500,https://www.gurazeni.com/player/824
2013,陽耀勲,ソフトバンク,3500,https://www.gurazeni.com/player/617
2013,秋山翔吾,西武,3500,https://www.gurazeni.com/player/574
2013,浅村栄斗,西武,3500,https://www.gurazeni.com/player/558
2013,オーティズ,西武,3500,https://www.gurazeni.com/player/557
2013,斎藤佑樹,日本ハム,3500,https://www.gurazeni.com/player/457
2013,田島慎二,中日,3500,https://www.gurazeni.com/player/106
2013,片山博視,楽天,3400,https://www.gurazeni.com/player/684
2013,山崎勝己,ソフトバンク,3400,https://www.gurazeni.com/player/621
2013,藤江均,DeNA,3400,https://www.gurazeni.com/player/385
2013,筒井和也,阪神,3400,https://www.gurazeni.com/player/310
2013,飯原誉士,ヤクルト,3400,https://www.gurazeni.com/player/211
2013,倉義和,広島,3300,https://www.gurazeni.com/player/256
2013,石井義人,巨人,3300,https://www.gurazeni.com/player/47
2013,加藤大輔,楽天,3200,https://www.gurazeni.com/player/696
2013,中嶋聡,日本ハム,3200,https://www.gurazeni.com/player/485
2013,石井裕也,日本ハム,3200,https://www.gurazeni.com/player/452
2013,下園辰哉,DeNA,3200,https://www.gurazeni.com/player/441
2013,松本哲也,巨人,3200,https://www.gurazeni.com/player/61
2013,近藤一樹,オリックス,3100,https://www.gurazeni.com/player/835
2013,美馬学,楽天,3100,https://www.gurazeni.com/player/686
2013,クラーク,中日,3100,https://www.gurazeni.com/player/139
2013,ジャスティン・トーマス,日本ハム,3000,https://www.gurazeni.com/player/886
2013,ロッティーノ,オリックス,3000,https://www.gurazeni.com/player/864
2013,高橋信二,オリックス,3000,https://www.gurazeni.com/player/856
2013,原拓也,オリックス,3000,https://www.gurazeni.com/player/853
2013,ブランドン・ディクソン,オリックス,3000,https://www.gurazeni.com/player/827
2013,清田育宏,ロッテ,3000,https://www.gurazeni.com/player/801
2013,ダックワース,楽天,3000,https://www.gurazeni.com/player/702
2013,斎藤隆,楽天,3000,https://www.gurazeni.com/player/691
2013,小池正晃,DeNA,3000,https://www.gurazeni.com/player/435
2013,荒波翔,DeNA,3000,https://www.gurazeni.com/player/432
2013,金城龍彦,DeNA,3000,https://www.gurazeni.com/player/430
2013,中村紀洋,DeNA,3000,https://www.gurazeni.com/player/429
2013,浅井良,阪神,3000,https://www.gurazeni.com/player/357
2013,天谷宗一郎,広島,3000,https://www.gurazeni.com/player/285
2013,ミゲル・ソコロビッチ,広島,3000,https://www.gurazeni.com/player/248
2013,森岡良介,ヤクルト,3000,https://www.gurazeni.com/player/208
2013,ボウカー,巨人,3000,https://www.gurazeni.com/player/64
2013,カルロス・ロサ,ロッテ,2900,https://www.gurazeni.com/player/779
2013,塩見貴洋,楽天,2900,https://www.gurazeni.com/player/673
2013,大野奨太,日本ハム,2900,https://www.gurazeni.com/player/483
2013,藤本敦士,ヤクルト,2900,https://www.gurazeni.com/player/198
2013,山本哲哉,ヤクルト,2900,https://www.gurazeni.com/player/160
2013,平田良介,中日,2900,https://www.gurazeni.com/player/144
2013,三瀬幸司,中日,2900,https://www.gurazeni.com/player/102
2013,マドリガル,中日,2850,https://www.gurazeni.com/player/1011
2013,藤岡好明,ソフトバンク,2800,https://www.gurazeni.com/player/601
2013,岩嵜翔,ソフトバンク,2800,https://www.gurazeni.com/player/592
2013,大崎雄太朗,西武,2800,https://www.gurazeni.com/player/565
2013,山崎浩司,西武,2800,https://www.gurazeni.com/player/554
2013,野上亮磨,西武,2800,https://www.gurazeni.com/player/524
2013,篠原貴行,DeNA,2800,https://www.gurazeni.com/player/392
2013,新井良太,阪神,2800,https://www.gurazeni.com/player/348
2013,赤松真人,広島,2800,https://www.gurazeni.com/player/281
2013,木村昇吾,広島,2800,https://www.gurazeni.com/player/272
2013,日高亮,ヤクルト,2800,https://www.gurazeni.com/player/173
2013,ルナ(エクトル・ルナ),中日,2800,https://www.gurazeni.com/player/123
2013,岩田慎司,中日,2800,https://www.gurazeni.com/player/97
2013,雄太(川井雄太),中日,2800,https://www.gurazeni.com/player/87
2013,堂上剛裕,中日,2700,https://www.gurazeni.com/player/147
2013,山崎武司,中日,2700,https://www.gurazeni.com/player/128
2013,寺内崇幸,巨人,2700,https://www.gurazeni.com/player/40
2013,吉見祐治,ロッテ,2600,https://www.gurazeni.com/player/747
2013,菊地和正,DeNA,2600,https://www.gurazeni.com/player/391
2013,林昌範,DeNA,2600,https://www.gurazeni.com/player/389
2013,加藤康介,阪神,2600,https://www.gurazeni.com/player/329
2013,脇谷亮太,巨人,2600,https://www.gurazeni.com/player/45
2013,荻野忠寛,ロッテ,2560,https://www.gurazeni.com/player/745
2013,伊志嶺翔大,ロッテ,2550,https://www.gurazeni.com/player/804
