name,url_x,position,born_year,hometown,height,weight,blood_type,throw_side,bat_side,draft_year,draft_round,education,koshien,year,team_x,number,b_game,b_pa,b_ab,b_r,b_h,b_2b,b_3b,b_hr,b_tb,b_rbi,b_k,b_bb,b_ibb,b_hbp,b_sh,b_sf,b_sb,b_cs,b_dp,b_e,b_avg,b_slg,b_obp,b_ops,Unnamed: 0.1,team_y,salary,_merge
小林誠司,http://www.baseball-lab.jp/player/detail/1300027,捕,1989.0,大阪,178cm,86kg,O型,右,右,2013.0,1位,広陵高─同大─日本生命─巨人,True,2018,巨人,22.0,119,313,265,22,58,9,0,2,73,26,58,27,5,4,16,1,0,0,8,5,0.219,0.275,0.3,0.575,4736,巨人,5400,both
小林誠司,http://www.baseball-lab.jp/player/detail/1300027,捕,1989.0,大阪,178cm,86kg,O型,右,右,2013.0,1位,広陵高─同大─日本生命─巨人,True,2019,巨人,22.0,92,236,213,20,52,6,0,2,64,19,48,7,0,4,11,1,1,0,12,3,0.244,0.3,0.28,0.58,5670,巨人,6000,both
松本哲也,http://www.baseball-lab.jp/player/detail/700014,外,1984.0,山梨,168cm,70kg,O型,左,左,2006.0,（育）3巡目,山梨学院大付高─専大,True,2014,巨人,31.0,75,90,80,14,22,1,0,0,23,3,12,4,0,2,4,0,3,1,0,0,0.275,0.288,0.326,0.613,1168,巨人,3200,both
松本哲也,http://www.baseball-lab.jp/player/detail/700014,外,1984.0,山梨,168cm,70kg,O型,左,左,2006.0,（育）3巡目,山梨学院大付高─専大,True,2015,巨人,31.0,44,37,34,8,5,1,0,0,6,0,10,2,0,0,1,0,3,0,0,1,0.147,0.176,0.194,0.371,2089,巨人,3000,both
松本哲也,http://www.baseball-lab.jp/player/detail/700014,外,1984.0,山梨,168cm,70kg,O型,左,左,2006.0,（育）3巡目,山梨学院大付高─専大,True,2016,巨人,31.0,52,77,69,6,12,1,1,0,15,1,22,2,0,1,5,0,2,0,1,0,0.174,0.217,0.208,0.426,3023,巨人,2400,both
松本哲也,http://www.baseball-lab.jp/player/detail/700014,外,1984.0,山梨,168cm,70kg,O型,左,左,2006.0,（育）3巡目,山梨学院大付高─専大,True,2017,巨人,31.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3939,巨人,2400,both
矢野謙次,http://www.baseball-lab.jp/player/detail/20124,外,1980.0,東京,178cm,85kg,O型,右,右,2002.0,6巡目,国学院久我山高─国学院大─巨人─日本ハム,False,2014,巨人,48.0,54,85,78,2,14,3,0,0,17,3,13,4,0,0,2,1,0,0,3,0,0.179,0.218,0.217,0.435,1067,巨人,6000,both
矢野謙次,http://www.baseball-lab.jp/player/detail/20124,外,1980.0,東京,178cm,85kg,O型,右,右,2002.0,6巡目,国学院久我山高─国学院大─巨人─日本ハム,False,2015,日本ハム,37.0,40,84,76,5,15,4,0,1,22,5,10,4,0,4,0,0,0,0,3,0,0.197,0.289,0.274,0.563,1986,日本ハム,4800,both
矢野謙次,http://www.baseball-lab.jp/player/detail/20124,外,1980.0,東京,178cm,85kg,O型,右,右,2002.0,6巡目,国学院久我山高─国学院大─巨人─日本ハム,False,2015,日本ハム,37.0,40,84,76,5,15,4,0,1,22,5,10,4,0,4,0,0,0,0,3,0,0.197,0.289,0.274,0.563,1987,巨人,4800,both
矢野謙次,http://www.baseball-lab.jp/player/detail/20124,外,1980.0,東京,178cm,85kg,O型,右,右,2002.0,6巡目,国学院久我山高─国学院大─巨人─日本ハム,False,2016,日本ハム,37.0,34,35,29,1,6,2,0,1,11,8,5,4,0,1,0,1,0,0,0,0,0.207,0.379,0.314,0.694,2895,日本ハム,5000,both
矢野謙次,http://www.baseball-lab.jp/player/detail/20124,外,1980.0,東京,178cm,85kg,O型,右,右,2002.0,6巡目,国学院久我山高─国学院大─巨人─日本ハム,False,2017,日本ハム,37.0,44,49,44,0,9,2,0,0,11,10,13,5,0,0,0,0,0,0,1,0,0.205,0.25,0.286,0.536,3864,日本ハム,4000,both
矢野謙次,http://www.baseball-lab.jp/player/detail/20124,外,1980.0,東京,178cm,85kg,O型,右,右,2002.0,6巡目,国学院久我山高─国学院大─巨人─日本ハム,False,2018,日本ハム,37.0,19,19,17,2,4,0,0,0,4,1,4,1,0,1,0,0,0,0,0,0,0.235,0.235,0.316,0.551,4831,日本ハム,3000,both
大田泰示,http://www.baseball-lab.jp/player/detail/900011,外,1990.0,広島,188cm,96kg,O型,右,右,2008.0,1位,東海大相模高─巨人─日本ハム,False,2014,巨人,44.0,44,74,65,14,16,6,0,2,28,12,20,8,1,1,0,0,4,2,2,0,0.246,0.431,0.338,0.769,1431,巨人,1125,both
大田泰示,http://www.baseball-lab.jp/player/detail/900011,外,1990.0,広島,188cm,96kg,O型,右,右,2008.0,1位,東海大相模高─巨人─日本ハム,False,2015,巨人,44.0,60,138,130,13,36,7,0,1,46,3,39,7,0,1,0,0,3,2,0,1,0.277,0.354,0.319,0.673,2176,巨人,1900,both
大田泰示,http://www.baseball-lab.jp/player/detail/900011,外,1990.0,広島,188cm,96kg,O型,右,右,2008.0,1位,東海大相模高─巨人─日本ハム,False,2016,巨人,44.0,62,119,114,12,23,6,1,4,43,13,45,4,0,0,0,1,0,0,3,1,0.202,0.377,0.227,0.604,3051,巨人,2100,both
大田泰示,http://www.baseball-lab.jp/player/detail/900011,外,1990.0,広島,188cm,96kg,O型,右,右,2008.0,1位,東海大相模高─巨人─日本ハム,False,2017,日本ハム,33.0,118,457,427,41,110,21,1,15,178,46,88,28,0,0,0,2,5,2,14,1,0.258,0.417,0.302,0.719,3967,日本ハム,2100,both
大田泰示,http://www.baseball-lab.jp/player/detail/900011,外,1990.0,広島,188cm,96kg,O型,右,右,2008.0,1位,東海大相模高─巨人─日本ハム,False,2018,日本ハム,33.0,104,429,383,56,105,22,4,14,177,59,103,38,0,7,0,1,3,4,11,0,0.274,0.462,0.35,0.812,4764,日本ハム,4300,both
大田泰示,http://www.baseball-lab.jp/player/detail/900011,外,1990.0,広島,188cm,96kg,O型,右,右,2008.0,1位,東海大相模高─巨人─日本ハム,False,2019,日本ハム,5.0,132,594,557,79,161,28,1,20,251,77,111,27,4,5,0,5,6,2,22,3,0.289,0.451,0.325,0.776,5662,日本ハム,6500,both
中井大介,http://www.baseball-lab.jp/player/detail/800002,内,1989.0,三重,183cm,88kg,B型,右,右,2007.0,（高）3巡目,宇治山田商高─巨人─ＤｅＮＡ,True,2014,巨人,36.0,23,52,49,5,10,2,1,0,14,3,13,3,0,0,0,0,1,0,3,1,0.204,0.286,0.25,0.536,1286,巨人,2000,both
中井大介,http://www.baseball-lab.jp/player/detail/800002,内,1989.0,三重,183cm,88kg,B型,右,右,2007.0,（高）3巡目,宇治山田商高─巨人─ＤｅＮＡ,True,2015,巨人,36.0,29,47,43,2,9,1,0,0,10,2,9,2,0,1,1,0,0,0,0,2,0.209,0.233,0.261,0.493,2219,巨人,1600,both
中井大介,http://www.baseball-lab.jp/player/detail/800002,内,1989.0,三重,183cm,88kg,B型,右,右,2007.0,（高）3巡目,宇治山田商高─巨人─ＤｅＮＡ,True,2016,巨人,36.0,43,61,51,3,10,2,1,0,14,4,13,7,0,1,1,1,0,0,0,2,0.196,0.275,0.3,0.575,3159,巨人,1400,both
中井大介,http://www.baseball-lab.jp/player/detail/800002,内,1989.0,三重,183cm,88kg,B型,右,右,2007.0,（高）3巡目,宇治山田商高─巨人─ＤｅＮＡ,True,2017,巨人,61.0,90,254,229,32,57,12,1,5,86,15,44,19,0,1,4,1,2,1,5,5,0.249,0.376,0.308,0.684,4070,巨人,1400,both
中井大介,http://www.baseball-lab.jp/player/detail/800002,内,1989.0,三重,183cm,88kg,B型,右,右,2007.0,（高）3巡目,宇治山田商高─巨人─ＤｅＮＡ,True,2018,巨人,61.0,70,97,86,8,16,5,0,1,24,6,25,6,0,2,3,0,0,0,3,2,0.186,0.279,0.255,0.534,4862,巨人,2400,both
中井大介,http://www.baseball-lab.jp/player/detail/800002,内,1989.0,三重,183cm,88kg,B型,右,右,2007.0,（高）3巡目,宇治山田商高─巨人─ＤｅＮＡ,True,2019,DeNA,0.0,79,183,161,24,40,4,0,3,53,7,34,18,0,0,3,1,2,1,9,4,0.248,0.329,0.322,0.651,5996,DeNA,1200,both
寺内崇幸,http://www.baseball-lab.jp/player/detail/700010,内,1983.0,栃木,177cm,73kg,B型,右,右,2006.0,6巡目,栃木工高─ＪＲ東日本─巨人,False,2014,巨人,0.0,40,41,35,7,7,0,0,0,7,0,10,0,0,2,4,0,4,0,1,0,0.2,0.2,0.243,0.443,1136,巨人,4000,both
寺内崇幸,http://www.baseball-lab.jp/player/detail/700010,内,1983.0,栃木,177cm,73kg,B型,右,右,2006.0,6巡目,栃木工高─ＪＲ東日本─巨人,False,2015,巨人,0.0,31,29,24,6,6,0,0,0,6,3,6,0,0,1,4,0,4,0,0,1,0.25,0.25,0.28,0.53,2068,巨人,3200,both
寺内崇幸,http://www.baseball-lab.jp/player/detail/700010,内,1983.0,栃木,177cm,73kg,B型,右,右,2006.0,6巡目,栃木工高─ＪＲ東日本─巨人,False,2016,巨人,0.0,55,33,31,2,4,1,0,0,5,1,11,0,0,0,2,0,0,0,0,1,0.129,0.161,0.129,0.29,3001,巨人,2600,both
寺内崇幸,http://www.baseball-lab.jp/player/detail/700010,内,1983.0,栃木,177cm,73kg,B型,右,右,2006.0,6巡目,栃木工高─ＪＲ東日本─巨人,False,2017,巨人,0.0,83,34,25,7,6,3,1,1,14,6,8,3,0,1,5,0,1,0,0,2,0.24,0.56,0.345,0.905,3916,巨人,2800,both
寺内崇幸,http://www.baseball-lab.jp/player/detail/700010,内,1983.0,栃木,177cm,73kg,B型,右,右,2006.0,6巡目,栃木工高─ＪＲ東日本─巨人,False,2018,巨人,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4814,巨人,3200,both
隠善智也,http://www.baseball-lab.jp/player/detail/700015,外,1984.0,広島,174cm,77kg,O型,左,左,2006.0,（育）4巡目,広島国際学院高─広島国際学院大,False,2014,巨人,52.0,11,29,28,1,9,0,0,0,9,0,5,0,0,0,1,0,1,0,2,1,0.321,0.321,0.321,0.643,1555,巨人,800,both
隠善智也,http://www.baseball-lab.jp/player/detail/700015,外,1984.0,広島,174cm,77kg,O型,左,左,2006.0,（育）4巡目,広島国際学院高─広島国際学院大,False,2015,巨人,52.0,3,2,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,2387,巨人,1000,both
藤村大介,http://www.baseball-lab.jp/player/detail/800001,内,1989.0,熊本,174cm,74kg,AB型,右,左,2007.0,（高）1巡目,熊本工高,True,2014,巨人,0.0,21,29,27,5,5,1,0,0,6,1,4,2,0,0,0,0,3,0,0,1,0.185,0.222,0.241,0.464,1308,巨人,1800,both
藤村大介,http://www.baseball-lab.jp/player/detail/800001,内,1989.0,熊本,174cm,74kg,AB型,右,左,2007.0,（高）1巡目,熊本工高,True,2015,巨人,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2246,巨人,1500,both
藤村大介,http://www.baseball-lab.jp/player/detail/800001,内,1989.0,熊本,174cm,74kg,AB型,右,左,2007.0,（高）1巡目,熊本工高,True,2016,巨人,0.0,5,6,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0.2,0.2,3225,巨人,1125,both
藤村大介,http://www.baseball-lab.jp/player/detail/800001,内,1989.0,熊本,174cm,74kg,AB型,右,左,2007.0,（高）1巡目,熊本工高,True,2017,巨人,57.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4178,巨人,1000,both
實松一成,http://www.baseball-lab.jp/player/detail/11726,捕,1981.0,佐賀,177cm,89kg,A型,右,右,1998.0,1位,佐賀学園高─日本ハム─巨人─日本ハム,True,2014,巨人,27.0,14,27,22,1,3,0,0,0,3,1,8,3,0,0,2,0,1,0,2,2,0.136,0.136,0.24,0.376,1137,巨人,4000,both
實松一成,http://www.baseball-lab.jp/player/detail/11726,捕,1981.0,佐賀,177cm,89kg,A型,右,右,1998.0,1位,佐賀学園高─日本ハム─巨人─日本ハム,True,2015,巨人,27.0,22,39,33,5,6,0,0,1,9,3,9,2,0,2,2,0,1,0,0,0,0.182,0.273,0.27,0.543,2039,巨人,3700,both
實松一成,http://www.baseball-lab.jp/player/detail/11726,捕,1981.0,佐賀,177cm,89kg,A型,右,右,1998.0,1位,佐賀学園高─日本ハム─巨人─日本ハム,True,2016,巨人,27.0,19,33,28,3,7,1,0,1,11,1,7,4,1,0,1,0,0,0,0,0,0.25,0.393,0.344,0.737,2938,巨人,3700,both
實松一成,http://www.baseball-lab.jp/player/detail/11726,捕,1981.0,佐賀,177cm,89kg,A型,右,右,1998.0,1位,佐賀学園高─日本ハム─巨人─日本ハム,True,2017,巨人,27.0,14,13,8,1,0,0,0,0,0,0,6,2,1,2,1,0,0,0,0,0,0.0,0.0,0.333,0.333,3870,巨人,3700,both
實松一成,http://www.baseball-lab.jp/player/detail/11726,捕,1981.0,佐賀,177cm,89kg,A型,右,右,1998.0,1位,佐賀学園高─日本ハム─巨人─日本ハム,True,2018,日本ハム,90.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5075,日本ハム,1100,both
實松一成,http://www.baseball-lab.jp/player/detail/11726,捕,1981.0,佐賀,177cm,89kg,A型,右,右,1998.0,1位,佐賀学園高─日本ハム─巨人─日本ハム,True,2019,日本ハム,90.0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6003,日本ハム,1150,both
鈴木尚広,http://www.baseball-lab.jp/player/detail/11502,外,1978.0,福島,180cm,78kg,A型,右,両,1996.0,4位,相馬高,False,2014,巨人,12.0,69,25,20,28,7,0,0,0,7,1,4,5,0,0,0,0,11,2,0,0,0.35,0.35,0.48,0.83,1134,巨人,4000,both
鈴木尚広,http://www.baseball-lab.jp/player/detail/11502,外,1978.0,福島,180cm,78kg,A型,右,両,1996.0,4位,相馬高,False,2015,巨人,12.0,65,22,17,22,5,1,0,1,9,4,4,2,0,1,2,0,10,1,0,1,0.294,0.529,0.4,0.929,1980,巨人,5000,both
鈴木尚広,http://www.baseball-lab.jp/player/detail/11502,外,1978.0,福島,180cm,78kg,A型,右,両,1996.0,4位,相馬高,False,2016,巨人,12.0,44,10,10,15,3,0,0,0,3,1,3,0,0,0,0,0,10,0,0,0,0.3,0.3,0.3,0.6,2871,巨人,6000,both
横川史学,http://www.baseball-lab.jp/player/detail/700073,外,1984.0,千葉,186cm,90kg,B型,右,左,2006.0,4巡目,常総学院高─青学大─楽天,True,2014,巨人,51.0,16,21,19,1,5,1,0,1,9,5,6,2,0,0,0,0,0,0,0,0,0.263,0.474,0.333,0.807,1420,巨人,1200,both
横川史学,http://www.baseball-lab.jp/player/detail/700073,外,1984.0,千葉,186cm,90kg,B型,右,左,2006.0,4巡目,常総学院高─青学大─楽天,True,2015,巨人,51.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2245,巨人,1500,both
